PromotionID,CouponCode,DiscountPercentage,CampaignName,StartDate,EndDate
1,Zombcpd6,10.0,Late Night Cravings,2023-12-11,2023-06-12
2,Zommmjaq,10.0,App Exclusive Deal,2024-02-13,2024-02-09
3,Zomde2A6,30.0,Summer Splash,2023-06-28,2023-07-31
4,Zomts3Xv,20.0,Great Indian Food Fest,2024-03-26,2024-05-09
5,Zom6Synb,50.0,First Order Free Delivery,2023-01-07,2023-01-15
6,Zommu60P,50.0,Payday Delight,2022-02-03,2022-02-18
7,Zom69Pt4,10.0,First Order Free Delivery,2023-08-13,2023-09-16
8,Zomsg9R1,10.0,Great Indian Food Fest,2022-10-03,2022-11-04
9,Zomz8Xaw,30.0,Payday Delight,2022-07-01,2022-07-09
10,Zomnuxal,25.0,Great Indian Food Fest,2023-11-17,2023-12-16
11,Zomc5Ey1,50.0,First Order Free Delivery,2022-04-28,2022-03-06
12,Zom72K4N,30.0,Payday Delight,2024-11-25,2024-05-12
13,Zomq1Rar,40.0,Mega Cashback Week,2024-07-12,2024-03-08
14,Zomt5Tet,30.0,Mega Cashback Week,2024-01-26,2024-02-12
15,Zomktglp,30.0,Weekend Bonanza,2023-02-08,2023-03-15
16,Zomkhwcu,15.0,Republic Day Offer,2022-05-10,2022-11-07
17,Zomj4Vsp,15.0,Republic Day Offer,2022-09-16,2022-10-28
18,Zom8Mvzn,25.0,Payday Delight,2024-11-05,2024-06-03
19,Zom3G9P3,50.0,Late Night Cravings,2024-08-02,2024-03-14
20,Zomncl6T,30.0,Payday Delight,2022-04-23,2022-05-20
21,Zomdv8Mx,20.0,Summer Splash,2023-06-12,2023-12-24
22,Zomv7Mbe,25.0,First Order Free Delivery,2024-10-13,2024-10-24
23,Zom9E56H,50.0,Great Indian Food Fest,2024-08-07,2024-09-11
24,Zomz6A0H,10.0,Festive Feast,2023-08-07,2023-08-20
25,Zombaygk,15.0,Mega Cashback Week,2023-02-02,2023-02-24
26,Zomkdruk,15.0,Republic Day Offer,2022-05-19,2022-01-07
27,Zomdv1Qn,25.0,New User Special,2023-02-03,2023-02-19
28,Zom6C7Ay,30.0,Great Indian Food Fest,2022-03-27,2022-04-14
29,Zom7Lkxm,30.0,Great Indian Food Fest,2024-11-01,2024-01-23
30,Zomt7Pgc,25.0,Great Indian Food Fest,2023-08-11,2023-08-22
31,Zome7Mwr,20.0,Festive Feast,2024-01-13,2024-01-29
32,Zomt6Dy1,50.0,First Order Free Delivery,2023-02-26,2023-03-25
33,Zome5F2M,10.0,New User Special,2023-03-25,2023-04-26
34,Zomcfrdy,20.0,Summer Splash,2023-02-27,2023-03-17
35,Zomydamp,50.0,Monsoon Munchies,2022-05-05,2022-11-05
36,Zomke22W,50.0,First Order Free Delivery,2023-06-24,2023-07-23
37,Zomneqbk,20.0,Mega Cashback Week,2022-01-07,2022-02-01
38,Zomc0Wrd,30.0,Mega Cashback Week,2023-02-11,2023-11-03
39,Zomgn2K6,30.0,New User Special,2024-03-04,2024-08-03
40,Zom2Nd9W,20.0,Weekend Bonanza,2022-05-31,2022-06-26
41,Zomepxtu,10.0,First Order Free Delivery,2022-09-05,2022-09-29
42,Zom8A4X7,25.0,Late Night Cravings,2024-05-01,2024-01-19
43,Zomah73E,50.0,Weekend Bonanza,2022-12-24,2023-01-30
44,Zom4Ca2P,30.0,Great Indian Food Fest,2023-01-21,2023-02-12
45,Zom9Yl5G,15.0,Summer Splash,2022-03-04,2022-03-05
46,Zomyu6Cv,15.0,Late Night Cravings,2024-06-07,2024-07-14
47,Zomdbulb,40.0,Great Indian Food Fest,2022-11-16,2022-12-30
48,Zom36Wmg,40.0,Late Night Cravings,2024-05-27,2024-07-11
49,Zomhyx2Y,20.0,Payday Delight,2024-11-10,2024-09-12
50,Zom4U47D,50.0,Great Indian Food Fest,2022-10-22,2022-11-27
51,Zomryx4S,20.0,Festive Feast,2024-08-11,2024-09-06
52,Zom19Y9G,10.0,Payday Delight,2022-04-18,2022-05-28
53,Zomy69Xh,25.0,New User Special,2024-03-11,2024-11-12
54,Zom153Sl,30.0,First Order Free Delivery,2024-05-02,2024-06-15
55,Zomfd0Bt,50.0,New User Special,2024-01-26,2024-01-31
56,Zom1Guj8,15.0,Summer Splash,2024-10-21,2024-10-19
57,Zom9Tqc1,25.0,Late Night Cravings,2023-10-15,2023-10-21
58,Zom9Rab9,20.0,Payday Delight,2023-05-04,2023-11-06
59,Zom03Zyb,15.0,First Order Free Delivery,2024-08-07,2024-07-23
60,Zomxa87K,20.0,Republic Day Offer,2023-09-29,2023-10-06
61,Zomu9Asq,40.0,Summer Splash,2022-12-05,2022-05-27
62,Zomz1Dct,25.0,Weekend Bonanza,2023-02-06,2023-02-25
63,Zomfcc3Y,25.0,Mega Cashback Week,2024-06-13,2024-07-14
64,Zomdltn4,20.0,Payday Delight,2023-12-17,2023-12-24
65,Zomapl43,20.0,Mega Cashback Week,2023-11-08,2023-08-23
66,Zomh1Bsf,20.0,Monsoon Munchies,2024-09-01,2024-09-10
67,Zomgsmxr,20.0,Late Night Cravings,2023-08-24,2023-09-01
68,Zom6Wlvw,15.0,Monsoon Munchies,2022-04-28,2022-11-05
69,Zomzkhk6,15.0,Mega Cashback Week,2024-05-04,2024-05-12
70,Zomnz79M,30.0,New User Special,2022-10-14,2022-05-11
71,Zomkh3Lv,10.0,Festive Feast,2023-01-28,2023-11-03
72,Zom2X3Md,10.0,Payday Delight,2023-03-18,2023-03-26
